,ID,DOI,complete,csv_post_title,crossref_API_out,title,DOI_API,title_API,title_match,DOI_match
0,1125,10.1186/s12881-014-0095-4," &amp; , Fenwick AL, Goos JAC, Rankin J, Lord H, Lester T, Hoogeboom AJM, van den Ouweland AMW, Wall SA, Mathijssen IMJ, Wilkie AOM. Apparently synonymous substitutions in FGFR2 affect splicing and result in mild Crouzon syndrome.   Aug 31;15:95. doi: 10.1186/s12881-014-0095-4.",Apparently synonymous substitutions in FGFR2 affect splicing and result in mild Crouzon syndrome,"{'title': ['Apparently synonymous substitutions in FGFR2affect splicing and result in mild Crouzon syndrome'], 'DOI': '10.1186/s12881-014-0095-4'}",['Apparently synonymous substitutions in FGFR2affect splicing and result in mild Crouzon syndrome'],10.1186/s12881-014-0095-4,Apparently synonymous substitutions in FGFR2affect splicing and result in mild Crouzon syndrome,False,True
1,1996,10.1183/13993003.00321-2016," , Pattinson KT, Turner MR. A wider pathological network underlying breathlessness and respiratory failure in amyotrophic lateral sclerosis.   Jun;47(6):1632-4. doi: 10.1183/13993003.00321-2016.",A wider pathological network underlying breathlessness and respiratory failure in amyotrophic lateral sclerosis,"{'title': ['A wider pathological network underlying breathlessness and respiratory failure in amyotrophic lateral sclerosis'], 'DOI': '10.1183/13993003.00321-2016'}",['A wider pathological network underlying breathlessness and respiratory failure in amyotrophic lateral sclerosis'],10.1183/13993003.00321-2016,A wider pathological network underlying breathlessness and respiratory failure in amyotrophic lateral sclerosis,True,True
2,506,," Adib-Samii P,  Rost N,  Traylor M,  Devan W,  Biffi A,  Lanfranconi S,  Fitzpatrick K,  Bevan S,  Kanakis A,  Valant V,  Gschwendtner A,  Malik R,  Richie A,  Gamble D,  Segal H,  Parati EA,  Ciusani E,  Holliday EG,  Maguire J,  Wardlaw J,  Worrall B,  Bis J,  Wiggins KL,  Longstreth W,  Kittner SJ,  Cheng YC,  Mosley T,  Falcone GJ,  Furie KL,  Leiva-Salinas C,  Lau BC,  Saleem Khan M; Australian Stroke Genetics Collaborative; Wellcome Trust Case-Control Consortium-2 (WTCCC2); METASTROKE,  Sharma P,  Fornage M,  Mitchell BD,  Psaty BM,  Sudlow C,  Levi C,  Boncoraglio GB, Rothwell PM,  Meschia J,  Dichgans M,  Rosand J,  Markus HS; International Stroke Genetics Consortium.. 17q25 Locus is associated with white matter hyperintensity volume in ischemic stroke, but not with lacunar stroke status.   Jun(44(6)):1609-15.","17q25 Locus is associated with white matter hyperintensity volume in ischemic stroke, but not with lacunar stroke status","{'title': ['17q25 Locus Is Associated With White Matter Hyperintensity Volume in Ischemic Stroke, But Not With Lacunar Stroke Status'], 'DOI': '10.1161/strokeaha.113.679936'}","['17q25 Locus Is Associated With White Matter Hyperintensity Volume in Ischemic Stroke, But Not With Lacunar Stroke Status']",10.1161/strokeaha.113.679936,"17q25 Locus Is Associated With White Matter Hyperintensity Volume in Ischemic Stroke, But Not With Lacunar Stroke Status",True,False
3,1430,10.1093/annonc/mdu449," and I. Tomlinson*, Findlay JM, Middleton MR, Tomlinson I. A systematic review and meta-analysis of somatic and germline DNA sequence biomarkers of esophageal cancer survival, therapy response and stage.   Apr;26(4): 624 - 64. doi:  10.1093/annonc/mdu449.","A systematic review and meta-analysis of somatic and germline DNA sequence biomarkers of esophageal cancer survival, therapy response and stage","{'title': ['A systematic review and meta-analysis of somatic and germline DNA sequence biomarkers of esophageal cancer survival, therapy response and stage'], 'DOI': '10.1093/annonc/mdu449'}","['A systematic review and meta-analysis of somatic and germline DNA sequence biomarkers of esophageal cancer survival, therapy response and stage']",10.1093/annonc/mdu449,"A systematic review and meta-analysis of somatic and germline DNA sequence biomarkers of esophageal cancer survival, therapy response and stage",True,True
4,848,," Dichgans M,  Malik R,  K̥_nig IR,  Rosand J,  Clarke R,  Gretarsdottir S,  Thorleifsson G,  Mitchell BD,  Assimes TL,  Levi C,  O'Donnell CJ,  Fornage M,  Thorsteinsdottir U,  Psaty BM,  Hengstenberg C,  Seshadri S,  Erdmann J,  Bis JC,  Peters A,  Boncoraglio GB,  M̥_rz W,  Meschia JF,  Kathiresan S,  Ikram MA,  McPherson R,  Stefansson K,  Sudlow C,  Reilly MP,  Thompson JR,  Sharma P,  Hopewell JC,  Chambers JC,  Watkins H, Rothwell PM,  Roberts R,  Markus HS,  Samani NJ,  Farrall M,  Schunkert H,  Gschwendtner A,  Bevan S,  Chen YC,  DeStefano AL,  Parati EA,  Quertermous T,  Ziegler A,  Boerwinkle E,  Holm H,  Fischer M,  Kessler T,  Willenborg C,  Laaksonen R,  Voight BF,  Stewart AF,  Rader DJ,  Hall AS,  Kooner JS; METASTROKE Consortium; CARDIoGRAM consortium; C4D consortium; International Stroke Genetics Consortium., Destefano AL. Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.   Jan;45(1):24-36..",Shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants,"{'title': ['Shared Genetic Susceptibility to Ischemic Stroke and Coronary Artery Disease'], 'DOI': '10.1161/strokeaha.113.002707'}",['Shared Genetic Susceptibility to Ischemic Stroke and Coronary Artery Disease'],10.1161/strokeaha.113.002707,Shared Genetic Susceptibility to Ischemic Stroke and Coronary Artery Disease,False,False
5,1312,," G W, Rane    , Harston G W, Rane N, Shaya G, Thandeswaran S, Cellerini M, Sheerin F, Kennedy J. Imaging Biomarkers in Acute Ischemic Stroke Trials: A Systematic Review.   Jan.",Imaging Biomarkers in Acute Ischemic Stroke Trials: A Systematic Review,"{'title': ['Imaging-based selection in acute ischemic stroke trials - a quest for imaging sweet spots'], 'DOI': '10.1111/j.1749-6632.2012.06732.x'}",['Imaging-based selection in acute ischemic stroke trials - a quest for imaging sweet spots'],10.1111/j.1749-6632.2012.06732.x,Imaging-based selection in acute ischemic stroke trials - a quest for imaging sweet spots,False,False
6,1168,10.1111/bjd.13199," Greenwald L, Gutowska-Owsiak D,  Watson C,  Selvakumar TA,  Wang X,  Ogg GS.. Histamine-synthesizing enzyme histidine decarboxylase is upregulated by keratinocytes in atopic skin.   Oct;171(4):771-8. doi: 10.1111/bjd.13199. Epub 2014 Sep .",Histamine-synthesizing enzyme histidine decarboxylase is upregulated by keratinocytes in atopic skin,"{'title': ['The histamine-synthesizing enzyme histidine decarboxylase is upregulated by keratinocytes in atopic skin'], 'DOI': '10.1111/bjd.13199'}",['The histamine-synthesizing enzyme histidine decarboxylase is upregulated by keratinocytes in atopic skin'],10.1111/bjd.13199,The histamine-synthesizing enzyme histidine decarboxylase is upregulated by keratinocytes in atopic skin,False,True
7,62,10.1016/j.atherosclerosis.2012.03.036," Kylintireas I,  Craig S,  Nethononda R,  Kohler M,  Francis J, Choudhury R,  Stradling J,  Neubauer S. Atherosclerosis and arterial stiffness in obstructive sleep apnea  -  a cardiovascular magnetic resonance study.   Jun;222:483-9.",Atherosclerosis and arterial stiffness in obstructive sleep apnea  -  a cardiovascular magnetic resonance study,"{'title': ['Obstructive sleep apnea in children'], 'DOI': '10.1002/lary.23844'}",['Obstructive sleep apnea in children'],10.1002/lary.23844,Obstructive sleep apnea in children,False,False
8,2137,10.1007/s10608-016-9795-8," M.lmes, E. , &amp; Blackwell E., &amp; , Burnett Heyes S, Pictet A, Mitchell H, Raeder SM, Lau JYF, Holmes EA et al. Mental imagery-based training to modify mood and cognitive bias in adolescents: effects of valence and perspective.   Aug:1-16. doi:10.1007/s10608-016-9795-8.",Mental imagery-based training to modify mood and cognitive bias in adolescents: effects of valence and perspective,"{'title': ['Mental Imagery-Based Training to Modify Mood and Cognitive Bias in Adolescents: Effects of Valence and Perspective'], 'DOI': '10.1007/s10608-016-9795-8'}",['Mental Imagery-Based Training to Modify Mood and Cognitive Bias in Adolescents: Effects of Valence and Perspective'],10.1007/s10608-016-9795-8,Mental Imagery-Based Training to Modify Mood and Cognitive Bias in Adolescents: Effects of Valence and Perspective,True,True
9,266,," Nesbit MA,  Hannan FM,  Howles SA,  Reed AC,  Cranston T,  Thakker CE,  Gregory L, Rimmer AJ,  Rust N,  Graham U,  Morrison PJ,  Hunter SJ,  Whyte MP,  McVean G, Buck D,  Thakker RV. Mutations in AP2S1 cause familial hypocalciuric hypercalcemia type 3.   Jan;45(1):93-97.",Mutations in AP2S1 cause familial hypocalciuric hypercalcemia type 3,"{'title': ['Mutations in AP2S1 cause familial hypocalciuric hypercalcemia type 3'], 'DOI': '10.1038/ng.2492'}",['Mutations in AP2S1 cause familial hypocalciuric hypercalcemia type 3'],10.1038/ng.2492,Mutations in AP2S1 cause familial hypocalciuric hypercalcemia type 3,True,False
