,ID,DOI,DOI_API,DOI_retry_API,complete,csv_post_title,title_API,title_retry_API,good_list
10,168,,10.1002/lary.25544,10.1002/ajmg.a.35558,"pagnamenta at,  murray je,  yoon g, akha es,  harrison v,  bicknell ls, ajilogba k,  stewart h,  kini u,  taylor jc,  keays da,  jackson ap,  knight sj. a novel nonsense cdk5rap2 mutation in a somali child with primary microcephaly and sensorineural hearing loss.   oct;158a(10):2577-82.",a novel nonsense cdk5rap2 mutation in a somali child with primary microcephaly and sensorineural hearing loss,High-frequency sensorineural hearing loss in children,A novel nonsenseCDK5RAP2mutation in a Somali child with primary microcephaly and sensorineural hearing loss,False
33,1639,,10.1111/j.1442-2018.2011.00666.x,,"ahmed s, brennan l, eppig j, price cc, lamar m, delano-wood l, bangen kj, edmonds ec, clark l, nation da, jak a, au r, swenson r, bondi mw, libon dj.. visuoconstructional impairment in subtypes of mild cognitive impairment.   sep 23:1-10..",visuoconstructional impairment in subtypes of mild cognitive impairment,Comparative study between depression in Korean elderly with mild cognitive impairment and normal cognitive function,,False
37,1313,10.1093/brain/awu328,None,,"ajina s, kennard c, rees g, bridge h. motion area v5/mt+ response to global motion in the absence of v1 resembles early visual cortex.   jan;138(pt 1):164-78. doi: 10.1093/brain/awu328. epub 2014 nov 28.",motion area v5/mt+ response to global motion in the absence of v1 resembles early visual cortex,,,False
38,1448,10.1523/JNEUROSCI.3075-14.2015,None,,"ajina s, rees g, kennard c, bridge h.. abnormal contrast responses in the extrastriate cortex of blindsight patients.   may;35(21):8201-13. doi: 10.1523/jneurosci.3075-14.2015..",abnormal contrast responses in the extrastriate cortex of blindsight patients,,,False
39,1270,,None,,"ajjan ra, owen kr. glucokinase mody and implications for treatment goals of common forms of diabetes.   dec;14(12):559.",glucokinase mody and implications for treatment goals of common forms of diabetes,,,False
41,2280,10.1111/bph.13666,None,,"akoumianakis i, tarun a, antoniades c. perivascular adipose tissue as a regulator of vascular disease pathogenesis: identifying novel therapeutic targets.   nov. 10.1111/bph.13666.",perivascular adipose tissue as a regulator of vascular disease pathogenesis: identifying novel therapeutic targets,,,False
43,341,,None,10.1016/j.ajhg.2014.02.002,"albrechtsen a, grarup n, li y, sparso t, tian g, cao h  et al. exome sequencing-driven discovery of coding polymorphisms associated with common metabolic phenotypes.   feb;56(2):298-310.",exome sequencing-driven discovery of coding polymorphisms associated with common metabolic phenotypes,,"Whole-Exome Sequencing of 2,000 Danish Individuals and the Role of Rare Coding Variants in Type 2 Diabetes",False
44,1117,,None,,"alexander carvajal-gonzaã«ã¢ lez, m. isabel leite, patrick waters, mark woodhall, ester coutinho, bettina balint, bethan lang, philippa pettingill, aisling carr, una-marie sheerin, raomand press, michael p. lunn, ming lim, paul maddison, h.-m. meinck, wim vandenberghe and angela vincent. glycine receptor antibodies in perm and related syndromes: characteristics, clinical features and outcomes.   aug 20;137:2178-2192.","glycine receptor antibodies in perm and related syndromes: characteristics, clinical features and outcomes",,,False
54,2071,10.1038/ncomms8211,None,10.1038/ncomms9016,"allum f, shao x, guã©nard f, simon mm, busche s, caron m et al. characterization of functional methylomes by next-generation capture sequencing identifies novel disease-associated variants.   may 30;6:7211. doi:10.1038/ncomms8211.",characterization of functional methylomes by next-generation capture sequencing identifies novel disease-associated variants,,Erratum: Characterization of functional methylomes by next-generation capture sequencing identifies novel disease-associated variants,False
60,1750,,None,10.1177/1545968315613864,"al-yahya e, johansen-berg h, kischka u, zarei m, cockburn j, dawes h. prefrontal cortex activation while walking under dual-task conditions in stroke: a multimodal imaging study..   oct. pii: 1545968315613864. [epub ahead of print].",prefrontal cortex activation while walking under dual-task conditions in stroke: a multimodal imaging study.,,Prefrontal Cortex Activation While Walking Under Dual-Task Conditions in Stroke,False
62,770,,None,10.1016/j.neuroimage.2013.11.037,"amadi u, ilie a, johansen-berg h, stagg cj. polarity-specific effects of motor transcranial direct current stimulation on fmri resting state networks..   nov 25;88:155-161.",polarity-specific effects of motor transcranial direct current stimulation on fmri resting state networks.,,Polarity-specific effects of motor transcranial direct current stimulation on fMRI resting state networks,False
72,490,10.3233/jpd-120126,None,10.1097/wnr.0b013e32834f6daa,"antoniades c, xuc z, carpenter rhs, barker r. the relationship between abnormalities of saccadic and manual response times in parkinson' s disease..   jun;3:557-563.",the relationship between abnormalities of saccadic and manual response times in parkinson's disease.,,Deep brain stimulation of the subthalamic nucleus in Parkinson’s disease,False
76,18,,None,10.1007/s11517-012-0863-2,"antoniades ca, ober j, hicks s, siuda g, carpenter rhs, kennard c, nemeth ah. statistical characteristics of finger-tapping data in huntington' s disease.   apr;50:341-6.",statistical characteristics of finger-tapping data in huntington's disease,,Statistical characteristics of finger-tapping data in Huntington’s disease,False
95,262,,None,10.1016/s0140-6736(13)60460-2,"armstrong mj, houlihan dd, rowe ia, clausen wh, elbrã•ã´nd b, gough sc, tomlinson jw, newsome pn. safety and efficacy of liraglutide in patients with type 2 diabetes and elevated liver enzymes: individual patient data meta-analysis of the lead program.   jan;37(2):234-42.",safety and efficacy of liraglutide in patients with type 2 diabetes and elevated liver enzymes: individual patient data meta-analysis of the lead program,,Safety and efficacy of liraglutide in patients with type 2 diabetes with elevated liver enzymes: individual patient data meta-analysis of the LEAD programme,False
97,33,,None,10.1016/j.jacc.2012.01.055,"arnold jr, karamitsos td, bhamra-ariza p, francis jm, searle n, robson md, howells rk, choudhury rp, rimoldi oe, camici pg, banning ap, neubauer s, jerosch-herold m, selvanayagam jb. myocardial oxygenation in coronary artery disease: insights from blood oxygen level-dependent magnetic resonance imaging at 3 tesla.   may.",myocardial oxygenation in coronary artery disease: insights from blood oxygen level-dependent magnetic resonance imaging at 3 tesla,,Myocardial Oxygenation in Coronary Artery Disease,False
98,496,,None,10.1161/circinterventions.112.000064,"arnold jr, karamitsos td, van gaal wj, testa l, francis jm, bhamra-ariza p, van gaal wj et al. residual ischemia after revascularization in multivessel coronary artery disease: insights from measurement of absolute myocardial blood flow using magnetic resonance imaging compared with angiographic assessment.   jun 1;6(3):237-45.",residual ischemia after revascularization in multivessel coronary artery disease: insights from measurement of absolute myocardial blood flow using magnetic resonance imaging compared with angiographic assessment,,Residual Ischemia After Revascularization in Multivessel Coronary Artery Disease,False
100,1287,,None,10.1016/j.eururo.2014.12.006,"arnsrud godtman r, holmberg e, lilja h, stranne j, hugosson j. opportunistic testing versus organized prostate-specific antigen screening: outcome after 18 years in the g.   dec 31. [epub ahead of print].",opportunistic testing versus organized prostate-specific antigen screening: outcome after 18 years in the g,,Opportunistic Testing Versus Organized Prostate-specific Antigen Screening: Outcome After 18 Years in the Göteborg Randomized Population-based Prostate Cancer Screening Trial,False
104,192,,None,10.1194/jlr.p059477,"asselbergs fw, guo y, van iperen ep, sivapalaratnam s, tragante v, lanktree mb, lange la, almoguera b, appelman ye, barnard j, baumert j, beitelshees al  et al. large-scale gene-centric meta-analysis across 32 studies identifies multiple lipid loci.   nov.",large-scale gene-centric meta-analysis across 32 studies identifies multiple lipid loci,,"Genetic meta-analysis of 15,901 African Americans identifies variation inEXOC3L1is associated with HDL concentration",False
105,1467,,None,10.3109/10428194.2015.1122783,"ã–sterborg a, udvardy m, zaritskey a, andersson po, grosicki s, mazur g, kaplan p, steurer m, schuh a, montillo m, kryachok i, middeke jm, kulyaba y, rekhtman g, gorczyca m, daly s, chang cn, lisby s, gupta i. phase iii, randomized study of ofatumumab versus physicians'  choice of therapy and standard versus extended-length ofatumumab in patients with bulky fludarabine-refractory chronic lymphocytic leukemia..   jan:1-10. [epub ahead of print].","phase iii, randomized study of ofatumumab versus physicians' choice of therapy and standard versus extended-length ofatumumab in patients with bulky fludarabine-refractory chronic lymphocytic leukemia.",,"Phase III, randomized study of ofatumumab versus physicians’ choice of therapy and standard versus extended-length ofatumumab in patients with bulky fludarabine-refractory chronic lymphocytic leukemia",False
109,388,,None,10.1111/jth.12120,"athanasiadis g, sabater-lleal m, buil a, souto jc, borrell m, lathrop m, watkins h, almasy l, hamsten a, soria jm. genetic determinants of plasma beta(2) -glycoprotein i levels: a genome-wide association study in extended pedigrees from spain.   mar.",genetic determinants of plasma beta(2) -glycoprotein i levels: a genome-wide association study in extended pedigrees from spain,,Genetic determinants of plasma β2-glycoprotein I levels: a genome-wide association study in extended pedigrees from Spain,False
162,1512,,10.1111/j.1365-2141.2011.08979.x,10.1111/bjh.13563,"bello e, pellagatti a, shaw j, mecucci c, kuââec r, killick s, giagounidis a, raynaud s, calasanz mj, fenaux p, boultwood j.. csnk1a1 mutations and gene expression analysis in myelodysplastic syndromes with del(5q).   jun. epub ahead of print.",csnk1a1 mutations and gene expression analysis in myelodysplastic syndromes with del(5q),Lenalidomide in lower-risk myelodysplastic syndromes with karyotypes other than deletion 5q and refractory to erythropoiesis-stimulating agents,CSNK1A1mutations and gene expression analysis in myelodysplastic syndromes with del(5q),False
170,2196,,10.1002/mrm.26347,10.1002/nbm.3886,"berrington a, voets nl, plaha p, larkin sj, mccullagh j, stacey r et al. improved localisation for 2-hydroxyglutarate detection at 3t using long-te semi-laser.   jun;2(2):94-105.",improved localisation for 2-hydroxyglutarate detection at 3t using long-te semi-laser,Detection of 2-hydroxyglutarate in brain tumors by triple-refocusing MR spectroscopy at 3T in vivo,A comparison of 2-hydroxyglutarate detection at 3 and 7 T with long-TE semi-LASER,False
208,872,,10.1227/01.neu.0000432766.67364.eb,10.1097/wnr.0000000000000039,"boccard sg, pereira ea, moir l, van hartevelt tj, kringelbach ml, fitzgerald jj, baker iw, green al, aziz tz, van hartevelt tj. deep brain stimulation of the anterior cingulate cortex: targeting the affective component of chronic pain.   jan 22;25(2):83-8.",deep brain stimulation of the anterior cingulate cortex: targeting the affective component of chronic pain,176 Deep Brain Stimulation of the Anterior Cingulate Cortex,Deep brain stimulation of the anterior cingulate cortex,False
219,807,,10.1002/cld.642,10.1002/hep.26977,"boonstra k, culver el, de buy wenniger lm, van heerde mj, van erpecum kj, poen ac et al. serum igg4 and igg1 for distinguishing igg4-associated cholangitis from primary sclerosing cholangitis.   dec 21.",serum igg4 and igg1 for distinguishing igg4-associated cholangitis from primary sclerosing cholangitis,IgG4-related sclerosing cholangitis,Serum immunoglobulin G4 and immunoglobulin G1 for distinguishing immunoglobulin G4-associated cholangitis from primary sclerosing cholangitis,False
221,661,,10.1002/wrna.1222,10.2174/1381612822666160226132112,"boultwood j, dolatshad h, varanasi ss, yip bh, pellagatti a. the role of splicing factor mutations in the pathogenesis of the myelodysplastic syndromes.   sep;15(13):00069-9.",the role of splicing factor mutations in the pathogenesis of the myelodysplastic syndromes,Splicing factor mutations and cancer,Impact of Splicing Factor Mutations on Pre-mRNA Splicing in the Myelodysplastic Syndromes,False
233,797,,10.1111/j.1525-1403.2012.00503.x,10.1016/j.expneurol.2013.06.009,"brittain js, brown p. the many roads to tremor: an invited commentary on pedrosa et al.  'effects of low-frequency thalamic deep brain stimulation in essential tremor patients' .   dec. epub ahead of print.",the many roads to tremor: an invited commentary on pedrosa et al. 'effects of low-frequency thalamic deep brain stimulation in essential tremor patients',Simultaneous Thalamic and Posterior Subthalamic Electrode Insertion With Single Deep Brain Stimulation Electrode for Essential Tremor,Effects of low-frequency thalamic deep brain stimulation in essential tremor patients,False
253,1306,,None,10.1093/jnci/djv095,"bryant rj, sjoberg dd, vickers aj, robinson mc, kumar r, marsden l, davis m, scardino pt, donovan j, neal de, lilja h, hamdy fc. predicting high-grade cancer at ten-core prostate biopsy using four kallikrein markers measured in blood.   jan. [in press].",predicting high-grade cancer at ten-core prostate biopsy using four kallikrein markers measured in blood,,Predicting High-Grade Cancer at Ten-Core Prostate Biopsy Using Four Kallikrein Markers Measured in Blood in the ProtecT Study,False
257,745,,None,,"buchanan j, wordsworth s, schuh a. issues surrounding the health economic evaluation of genomic technologies.   nov;14(15):1833-47.",issues surrounding the health economic evaluation of genomic technologies,,,False
258,2064,,None,10.1007/s40271-016-0172-1,"buchanan j, wordsworth s, schuh a. patients'  preferences for genomic diagnostic testing in chronic lymphocytic leukaemia: a discrete choice experiment.   may.  epub ahead of print.",patients' preferences for genomic diagnostic testing in chronic lymphocytic leukaemia: a discrete choice experiment,,Patients’ Preferences for Genomic Diagnostic Testing in Chronic Lymphocytic Leukaemia: A Discrete Choice Experiment,False
259,305,,None,10.1371/journal.pgen.1003219,"bull kr, rimmer aj, siggs om, miosge la, roots cm, enders a, bertram em, crockford tl, whittle b,  potter pk,  simon mm, mallon a-m, brown sdm, beutler b, goodnow cc, lunter g, cornall rj. unlocking the bottleneck in forward genetics.   jan.",unlocking the bottleneck in forward genetics,,Unlocking the Bottleneck in Forward Genetics Using Whole-Genome Sequencing and Identity by Descent to Isolate Causative Mutations,False
260,1908,10.1093/ehjci/jev043.,None,10.1093/ehjci/jev043,"bull s, loudon m, francis jm, joseph j, gerry s, karamitsos td, prendergast bd, banning ap, neubauer s, myerson sg. a prospective, double-blind, randomized controlled trial of the angiotensin-converting enzyme inhibitor ramipril in aortic stenosis (rias trial)..   aug;16(8):834-41. doi: 10.1093/ehjci/jev043. epub 2015 mar 21..","a prospective, double-blind, randomized controlled trial of the angiotensin-converting enzyme inhibitor ramipril in aortic stenosis (rias trial).",,"A prospective, double-blind, randomized controlled trial of the angiotensin-converting enzyme inhibitor Ramipril In Aortic Stenosis (RIAS trial)",False
263,402,,None,10.1007/s00702-011-0732-4,"bullock jm, medway c, cortina-borja m, turton jc, prince ja, ibrahim-verbaas ca, schuur m, breteler mm, van duijn cm, kehoe pg, barber r, coto e, alvarez v, deloukas p, hammond n, combarros o, mateo i, warden dr, lehmann mg, belbin o, brown k, wilcock gk, heun r, kã•_lsch h, smith ad, lehmann dj, morgan k, kolsch h. discovery by the epistasis project of an epistatic interaction between the gstm3 gene and the hhex/ide/kif11 locus in the risk of alzheimer' s disease.   apr;34(4):1309-7.",discovery by the epistasis project of an epistatic interaction between the gstm3 gene and the hhex/ide/kif11 locus in the risk of alzheimer's disease,,Interaction of insulin and PPAR-α genes in Alzheimer’s disease: the Epistasis Project,False
279,1926,10.1109/TRANSDUCERS.2015.7180863,10.1002/mds.26890,10.1002/mds.27022,"cagnan h, brown p, bourget d, denison t. inertial-based control system concepts for the treatment of movement disorders.   jun. doi: 10.1109/transducers.2015.7180863 .",inertial-based control system concepts for the treatment of movement disorders,Current applications and limitations of surgical treatments for movement disorders,Adaptive Deep Brain Stimulation for Movement Disorders: The Long Road to Clinical Therapy,False
285,1554,,None,10.1074/jbc.m115.665695,"cahill tj, leo v, kelly m, stockenhuber a, kennedy nw, bao l, cereghetti g, harper ar, czibik g, lao c, bellahcene m, steeples v, ghaffari s, yavari a, mayer a, poulton j, ferguson d, scorrano l, hettiarachchi nt, peers c, boyle j, hill rb, simmons a, watkins h, dear tn, ashrafian h. resistance of dynamin-related protein 1 oligomers to disassembly impairs mitophagy resulting in myocardial inflammation and heart failure.   jul 14. pii: jbc.m115.665695. [epub ahead of print].",resistance of dynamin-related protein 1 oligomers to disassembly impairs mitophagy resulting in myocardial inflammation and heart failure,,"Resistance of Dynamin-related Protein 1 Oligomers to Disassembly Impairs Mitophagy, Resulting in Myocardial Inflammation and Heart Failure",False
334,2394,10.1093/cid/ciw754,10.2459/jcm.0000000000000717,10.3201/eid2307.170422,"chand m, lamagni t, kranzer k, hedge j, moore g, parks s, et al. insidious risk of severe mycobacterium chimaera infection in cardiac surgery patients. clin infect dis. 2017;64(3):335-42.",insidious risk of severe mycobacterium chimaera infection in cardiac surgery patients.,Mycobacterium chimaera infections following cardiac surgery in Italy,"Mycobacterium chimaera Isolates from Heater–Cooler Units, United Kingdom",False
360,84,,10.1111/j.1759-7714.2012.00129.x,10.1097/pas.0b013e318254e80e,"chetty r, shah as, perez-ordonez b. large neuroendocrine cell carcinoma of the head and neck.   jul;36(7):1102-3.",large neuroendocrine cell carcinoma of the head and neck,Large cell neuroendocrine carcinoma: retrospective analysis of 24 cases from four oncology centers in Turkey,Large Cell Neuroendocrine Carcinoma of the Head and Neck,False
367,548,,10.1111/ahg.12111,10.1093/hmg/ddt131,"church dn, briggs sew,  palles c, domingo e, kearsey sj, grimes jm, gorman m, martin l, howarth km, hodgson sv, nsecg collaborators, kaur k,  taylor j, tomlinson ipm. dna polymerase _ and _ã¢ exonuclease domain mutations in endometrial cancer.   jul;22(14):2820-28.",dna polymerase _ and _ã¢ exonuclease domain mutations in endometrial cancer,Mitochondrial DNA Polymerase γ Mutations and Their Implications in mtDNA Alterations in Colorectal Cancer,DNA polymerase ɛ and δ exonuclease domain mutations in endometrial cancer,False
396,966,,10.5966/sctm.2015-0118,10.1136/heartjnl-2016-310482,"coffey s, prendergast b. medical therapies for treatment of valvular heart disease.   may;in press.",medical therapies for treatment of valvular heart disease,Proceedings: Moving Toward Cell-Based Therapies for Heart Disease,Serum biomarkers in valvular heart disease,False
446,1245,,10.1111/joic.12150,10.1016/j.ijcard.2014.09.025,"dall'armellina g, eltchaninoff h, moat n, goicolea j, ussia g, kala p et al. local and general anaesthesia does not influence outcome of transfemoral aortic valve implantation.   dec;in press.",local and general anaesthesia does not influence outcome of transfemoral aortic valve implantation,Influence of Sex on Outcome Following Transcatheter Aortic Valve Implantation (TAVI): Systematic Review and Meta-Analysis,Local and general anaesthesia do not influence outcome of transfemoral aortic valve implantation,False
519,1932,,10.1002/jgm.2768,10.1517/21678707.2015.1046434,"dimopoulos is, chan s, maclaren re, macdonald im. pathogenic mechanisms and the prospect of gene therapy for choroideremia..   jul;3(7):787-798.",pathogenic mechanisms and the prospect of gene therapy for choroideremia.,Adeno-associated virus 8-mediated gene therapy for choroideremia: preclinical studies inin vitroandin vivomodels,Pathogenic mechanisms and the prospect of gene therapy for choroideremia,False
533,2368,,10.1111/j.1442-200x.2010.03227.x,10.1016/s1473-3099(17)30274-8,"dotel, r., o'sullivan, m., & gilbert, g. (2017). staphylococcus aureus in critical care. the lancet infectious diseases, 17(6), 579-580.",staphylococcus aureus in critical care.,Antimicrobial susceptibility of Staphylococcus aureus in children with atopic dermatitis,Staphylococcus aureus in critical care,False
614,1530,,10.1111/baap.12001,10.1111/bjh.13619,"eyre ta, salisbury r, eyre dw, watson c, collins gp, hatton cs. results of a large retrospective analysis of the effect of intended dose intensity of r-chop on outcome in a cohort of consecutive, unselected elderly patients with de novo diffuse large b cell lymphoma.   jul.","results of a large retrospective analysis of the effect of intended dose intensity of r-chop on outcome in a cohort of consecutive, unselected elderly patients with de novo diffuse large b cell lymphoma","Primary adrenal Epstein-Barr virus-positive diffuse large B cell lymphoma of the elderly, mimicking pseudocyst","Results of a large retrospective analysis of the effect of intended dose intensity of R-CHOP on outcome in a cohort of consecutive, unselected elderly patients withde novodiffuse large B cell lymphoma",False
657,694,,10.1002/mrm.26561,10.1093/ehjci/jet070a,"ferreira vm, piechnik sk, dall'armellina e, karamitsos td, francis jm, ntusi n, holloway c, choudhury rp, kardos a, robson md, friedrich mg, neubauer s. t1-mapping for the diagnosis of acute myocarditis using cardiovascular magnetic resonance  -  comparison to t2-weighted and late gadolinium enhanced imaging.   oct;6(10):1048-58.",t1-mapping for the diagnosis of acute myocarditis using cardiovascular magnetic resonance  -  comparison to t2-weighted and late gadolinium enhanced imaging,"Magnetic resonance fingerprinting using echo-planar imaging: Joint quantification of T1
 and 
T2∗ relaxation times","1072T1 mapping is a superior method to T2-weighted imaging in
                    the detection of acute myocarditis using cardiovascular magnetic
                    resonance",False
674,2338,,10.1111/j.1751-2824.2011.01509.x,10.1111/bjh.14433,"fisher sa, lamikanra a, doree c, gration b, tsang p, danby rd, et al. increased regulatory t cell graft content is associated with improved outcome in haematopoietic stem cell transplantation: a systematic review. br j haematol. 2017;176(3):448-63.",increased regulatory t cell graft content is associated with improved outcome in haematopoietic stem cell transplantation: a systematic review.,Complications of haematopoietic stem cell transplantation,Increased regulatory T cell graft content is associated with improved outcome in haematopoietic stem cell transplantation: a systematic review,False
708,2148,10.1038/nature18642,10.1111/cob.12020,10.1371/journal.pgen.1005165,"fuchsberger c, flannick j, teslovich tm, mahajan a, agarwala v, gaulton kj et al. the genetic architecture of type 2 diabetes.   aug 4;536(7614):41-7. doi: 10.1038/nature18642.",the genetic architecture of type 2 diabetes,Type 2 diabetes in children,The Power of Gene-Based Rare Variant Methods to Detect Disease-Associated Variation and Test Hypotheses About Complex Disease,False
