FinalDOI,ID,complete,api_add,times_cited,recent_citations,highly_cited_1,highly_cited_5,highly_cited_10,relative_citation_ratio,field_citation_ratio,license
10.1186/s12881-014-0095-4,1125,"&amp; , fenwick al, goos jac, rankin j, lord h, lester t, hoogeboom ajm, van den ouweland amw, wall sa, mathijssen imj, wilkie aom. apparently synonymous substitutions in fgfr2 affect splicing and result in mild crouzon syndrome.   aug 31;15:95. doi: 10.1186/s12881-014-0095-4.","{'doi': '10.1186/s12881-014-0095-4', 'times_cited': 5, 'recent_citations': 3, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.25, 'field_citation_ratio': 0.65, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",5.0,3.0,False,False,False,0.25,0.65,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1183/13993003.00321-2016,1996,", pattinson kt, turner mr. a wider pathological network underlying breathlessness and respiratory failure in amyotrophic lateral sclerosis.   jun;47(6):1632-4. doi: 10.1183/13993003.00321-2016.","{'doi': '10.1183/13993003.00321-2016', 'times_cited': 2, 'recent_citations': 1, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.26, 'field_citation_ratio': 0.68, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",2.0,1.0,False,False,False,0.26,0.68,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1161/strokeaha.113.679936,506,"adib-samii p,  rost n,  traylor m,  devan w,  biffi a,  lanfranconi s,  fitzpatrick k,  bevan s,  kanakis a,  valant v,  gschwendtner a,  malik r,  richie a,  gamble d,  segal h,  parati ea,  ciusani e,  holliday eg,  maguire j,  wardlaw j,  worrall b,  bis j,  wiggins kl,  longstreth w,  kittner sj,  cheng yc,  mosley t,  falcone gj,  furie kl,  leiva-salinas c,  lau bc,  saleem khan m; australian stroke genetics collaborative; wellcome trust case-control consortium-2 (wtccc2); metastroke,  sharma p,  fornage m,  mitchell bd,  psaty bm,  sudlow c,  levi c,  boncoraglio gb, rothwell pm,  meschia j,  dichgans m,  rosand j,  markus hs; international stroke genetics consortium.. 17q25 locus is associated with white matter hyperintensity volume in ischemic stroke, but not with lacunar stroke status.   jun(44(6)):1609-15.","{'doi': '10.1161/strokeaha.113.679936', 'times_cited': 33, 'recent_citations': 5, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 1.49, 'field_citation_ratio': 8.29, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",33.0,5.0,False,False,False,1.49,8.29,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1093/annonc/mdu449,1430,"and i. tomlinson*, findlay jm, middleton mr, tomlinson i. a systematic review and meta-analysis of somatic and germline dna sequence biomarkers of esophageal cancer survival, therapy response and stage.   apr;26(4): 624 - 64. doi:  10.1093/annonc/mdu449.","{'doi': '10.1093/annonc/mdu449', 'times_cited': 37, 'recent_citations': 14, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 2.57, 'field_citation_ratio': 9.0, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",37.0,14.0,False,False,False,2.57,9.0,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1161/strokeaha.113.002707,848,"dichgans m,  malik r,  kã•_nig ir,  rosand j,  clarke r,  gretarsdottir s,  thorleifsson g,  mitchell bd,  assimes tl,  levi c,  o'donnell cj,  fornage m,  thorsteinsdottir u,  psaty bm,  hengstenberg c,  seshadri s,  erdmann j,  bis jc,  peters a,  boncoraglio gb,  mã•_rz w,  meschia jf,  kathiresan s,  ikram ma,  mcpherson r,  stefansson k,  sudlow c,  reilly mp,  thompson jr,  sharma p,  hopewell jc,  chambers jc,  watkins h, rothwell pm,  roberts r,  markus hs,  samani nj,  farrall m,  schunkert h,  gschwendtner a,  bevan s,  chen yc,  destefano al,  parati ea,  quertermous t,  ziegler a,  boerwinkle e,  holm h,  fischer m,  kessler t,  willenborg c,  laaksonen r,  voight bf,  stewart af,  rader dj,  hall as,  kooner js; metastroke consortium; cardiogram consortium; c4d consortium; international stroke genetics consortium., destefano al. shared genetic susceptibility to ischemic stroke and coronary artery disease: a genome-wide analysis of common variants.   jan;45(1):24-36..","{'doi': '10.1161/strokeaha.113.002707', 'times_cited': 185, 'recent_citations': 60, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 8.59, 'field_citation_ratio': 50.96, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",185.0,60.0,False,False,False,8.59,50.96,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.3174/ajnr.a4208,1312,"g w, rane    , harston g w, rane n, shaya g, thandeswaran s, cellerini m, sheerin f, kennedy j. imaging biomarkers in acute ischemic stroke trials: a systematic review.   jan.","{'doi': '10.3174/ajnr.a4208', 'times_cited': 11, 'recent_citations': 4, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.75, 'field_citation_ratio': 4.4, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",11.0,4.0,False,False,False,0.75,4.4,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1111/bjd.13199,1168,"greenwald l, gutowska-owsiak d,  watson c,  selvakumar ta,  wang x,  ogg gs.. histamine-synthesizing enzyme histidine decarboxylase is upregulated by keratinocytes in atopic skin.   oct;171(4):771-8. doi: 10.1111/bjd.13199. epub 2014 sep .","{'doi': '10.1111/bjd.13199', 'times_cited': 17, 'recent_citations': 4, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 1.07, 'field_citation_ratio': 2.85, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",17.0,4.0,False,False,False,1.07,2.85,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1016/j.atherosclerosis.2012.03.036,62,"kylintireas i,  craig s,  nethononda r,  kohler m,  francis j, choudhury r,  stradling j,  neubauer s. atherosclerosis and arterial stiffness in obstructive sleep apnea  -  a cardiovascular magnetic resonance study.   jun;222:483-9.","{'doi': '10.1016/j.atherosclerosis.2012.03.036', 'times_cited': 19, 'recent_citations': 7, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.79, 'field_citation_ratio': 4.41, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",19.0,7.0,False,False,False,0.79,4.41,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1007/s10608-016-9795-8,2137,"m.lmes, e. , &amp; blackwell e., &amp; , burnett heyes s, pictet a, mitchell h, raeder sm, lau jyf, holmes ea et al. mental imagery-based training to modify mood and cognitive bias in adolescents: effects of valence and perspective.   aug:1-16. doi:10.1007/s10608-016-9795-8.","{'doi': '10.1007/s10608-016-9795-8', 'times_cited': 8, 'recent_citations': 6, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 1.52, 'field_citation_ratio': 4.81, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",8.0,6.0,False,False,False,1.52,4.81,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1038/ng.2492,266,"nesbit ma,  hannan fm,  howles sa,  reed ac,  cranston t,  thakker ce,  gregory l, rimmer aj,  rust n,  graham u,  morrison pj,  hunter sj,  whyte mp,  mcvean g, buck d,  thakker rv. mutations in ap2s1 cause familial hypocalciuric hypercalcemia type 3.   jan;45(1):93-97.","{'doi': '10.1038/ng.2492', 'times_cited': 137, 'recent_citations': 43, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 5.47, 'field_citation_ratio': 15.75, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",137.0,43.0,False,False,False,5.47,15.75,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
