DOIs,api_add,times_cited,recent_citations,highly_cited_1,highly_cited_5,highly_cited_10,relative_citation_ratio,field_citation_ratio,license
10.1007/bf01853155,"{'doi': '10.1007/bf01853155', 'times_cited': 1, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",1.0,0.0,False,False,False,,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.3949/ccjm.81a.13122,"{'doi': '10.3949/ccjm.81a.13122', 'times_cited': 0, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.0, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",0.0,0.0,False,False,False,0.0,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.22143/hss21.8.5.32,"{'doi': '10.22143/hss21.8.5.32', 'times_cited': 0, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",0.0,0.0,False,False,False,,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.5860/choice.26-1960,"{'doi': '10.5860/choice.26-1960', 'times_cited': 1, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",1.0,0.0,False,False,False,,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1371/journal.pone.0048105.t002,,,,,,,,,
10.1002/1520-6297(199203)8:2<>1.0.co;2-w,,,,,,,,,
10.2217/14622416.9.9.1217,"{'doi': '10.2217/14622416.9.9.1217', 'times_cited': 65, 'recent_citations': 8, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 1.93, 'field_citation_ratio': 13.31, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",65.0,8.0,False,False,False,1.93,13.31,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1371/journal.pone.0172409.g008,,,,,,,,,
10.1002/9780470142752.ch2,"{'doi': '10.1002/9780470142752.ch2', 'times_cited': 100, 'recent_citations': 2, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",100.0,2.0,False,False,False,,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1016/0190-9622(91)70076-e,"{'doi': '10.1016/0190-9622(91)70076-e', 'times_cited': 31, 'recent_citations': 1, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 1.79, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",31.0,1.0,False,False,False,1.79,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.12980/apjtd.7.2017d6-373,"{'doi': '10.12980/apjtd.7.2017d6-373', 'times_cited': 0, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",0.0,0.0,False,False,False,,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1371/journal.pbio.1000190.g003,,,,,,,,,
10.1175/jhm-d-19-0129.1,"{'doi': '10.1175/jhm-d-19-0129.1', 'times_cited': None, 'recent_citations': None, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",,,False,False,False,,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.5040/9781350009615.ch-014,"{'doi': '10.5040/9781350009615.ch-014', 'times_cited': 0, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",0.0,0.0,False,False,False,,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1109/mpel.2018.2849650,"{'doi': '10.1109/mpel.2018.2849650', 'times_cited': 0, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",0.0,0.0,False,False,False,,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1007/bf00692726,"{'doi': '10.1007/bf00692726', 'times_cited': 215, 'recent_citations': 7, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 6.17, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",215.0,7.0,False,False,False,6.17,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1007/978-3-319-59105-6_9,"{'doi': '10.1007/978-3-319-59105-6_9', 'times_cited': 2, 'recent_citations': 2, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': 1.7, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",2.0,2.0,False,False,False,,1.7,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1109/lescpe.2001.941619,"{'doi': '10.1109/lescpe.2001.941619', 'times_cited': 0, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': 0.0, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",0.0,0.0,False,False,False,,0.0,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1007/10793184_25,"{'doi': '10.1007/10793184_25', 'times_cited': 0, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': 0.0, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",0.0,0.0,False,False,False,,0.0,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.2172/1253494,,,,,,,,,
10.1086/ahr/52.3.512,"{'doi': '10.1086/ahr/52.3.512', 'times_cited': 0, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",0.0,0.0,False,False,False,,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1111/j.1469-8137.2012.04331.x,"{'doi': '10.1111/j.1469-8137.2012.04331.x', 'times_cited': 19, 'recent_citations': 6, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': 0.76, 'field_citation_ratio': 1.79, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",19.0,6.0,False,False,False,0.76,1.79,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1136/bmj.2.5477.1550,"{'doi': '10.1136/bmj.2.5477.1550', 'times_cited': 0, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",0.0,0.0,False,False,False,,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.3410/f.1004449.374579,,,,,,,,,
10.1145/2740908.2742756,"{'doi': '10.1145/2740908.2742756', 'times_cited': 4, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': 1.98, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",4.0,0.0,False,False,False,,1.98,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
10.1207/sthf0103_8,"{'doi': '10.1207/sthf0103_8', 'times_cited': 5, 'recent_citations': 0, 'highly_cited_1': False, 'highly_cited_5': False, 'highly_cited_10': False, 'relative_citation_ratio': None, 'field_citation_ratio': None, 'license': 'This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information.'}",5.0,0.0,False,False,False,,,"This data has been sourced via the Dimensions Metrics API, use of which is subject to the terms at https://dimensions.ai/policies/terms/metrics/. Any use by an unregistered organization is not authorized. Please contact info@dimensions.ai for further information."
