,ID,complete,FinalDOI,api_add
519,1932,"dimopoulos is, chan s, maclaren re, macdonald im. pathogenic mechanisms and the prospect of gene therapy for choroideremia..   jul;3(7):787-798.",10.1517/21678707.2015.1046435,
533,2368,"dotel, r., o'sullivan, m., & gilbert, g. (2017). staphylococcus aureus in critical care. the lancet infectious diseases, 17(6), 579-580.",10.1016/s1473-3099(17)30274-9,
724,2272,"gascoyne, d. m., lyne, l., spearman, h., buffa, f. m., soilleux, e. j., & banham, a. h. (2016). vitamin d receptor expression in plasmablastic lymphoma and myeloma cells confers susceptibility to vitamin d. endocrinology, 158(3), 503-515.",10.1210/en.2016-1803,
864,674,"hata j, arima h, rothwell pm, woodward m, zoungas s, anderson c, patel a, neal b, glasziou p, hamet p, mancia g, poulter n, williams b, macmahon s, chalmers j; advance collaborative group. effects of visit-to-visit variability in systolic blood pressure on macrovascular and microvascular complications in patients with type 2 diabetes mellitus: the advance trial.   sep 17;128(12):1325-24.",10.1161/circulationaha.113.002718,
1025,19,"joundi ra, brittain js, punt td, green al, jenkinson n, aziz tz. stimulation of the subthalamic nucleus improves velocity of ballistic movements in parkinson' s disease.   apr;23(6):390-4.",10.1097/wnr.0b013e3283525b40,
1103,771,"kohler m, stradling jr. osa and hypertension  -  do we know all the answers?.   nov 30;144(5):1433-34.",10.1378/chest.13-1097,
1105,4,"kolsch h, lehmann dj, ibrahim-verbaas ca, combarros o, van duijn cm, hammond n, belbin o, cortina-borja m,  g lehmann mg, aulchenko ys, schuur m, breteler m, wilcock gk, brown k, kehoe pg, barber r, coto e, alvarez v,  deloukas p, mateo i, maier w, morgan k, warden dk, smith ad, heun r . interaction of insulin and ppar-alpha genes in alzheimer' s disease: the epistasis project.   apr;119:473-9.",10.1007/s00702-011-0732-5,
1190,742,"li l, simoni m, kã•_ker w, schulz ug, christie s, wilcock gk, rothwell pm, kuker w. population-based case-control study of white matter changes on brain imaging in transient ischemic attack and ischemic stroke.   nov;44(11):3063-70.",10.1161/strokeaha.113.002776,
1230,889,"liu s, knapp s, ahmed aa. the structural basis of pi3k cancer mutations.   feb 1;74(3):641-6.",10.1158/0008-5472.can-13-2320,
1429,2036,"mohamed ne, lee jh, francis pt, esiri mm, chen cp, lai mk.. differential alterations of neocortical glun receptor subunits in patients with mixed ischemic vascular dementia and alzheimer's disease..   jan 1;44 (2):431-7.",10.3233/jad-141765,
1474,2070,"myocardial infarction genetics and cardiogram exome consortia investigators.. coding variation in angptl4, lpl, and svep1 and the risk of coronary disease.   may 3;374(12):1134-44. doi:10.1056/nejmoa1507652.",10.1056/nejmx160012,
1478,679,"nagler a, rocha v, labopin m, unal a, ben othman t, campos a et al. allogeneic hematopoietic stem-cell transplantation for acute myeloid leukemia in remission: comparison of intravenous busulfan plus cyclophosphamide (cy) versus total-body irradiation plus cy as conditioning regimen - a report from the acute leukemia working party of the european group for blood and marrow transplantation.   oct;31(28):3549-56.",10.1200/jco.2013.48.8115,
1729,1232,"ramnath rd, maillard e, jones k, bateman pa, hughes ss, gralla j, johnson pr, gray dw. in vitro assessment of human islet vulnerability to instant blood mediated inflammatory reaction (ibmir) and its use to demonstrate a beneficial effect of tissue culture.   nov 5.",10.3727/096368914x685321,
1730,1326,"rampling t, ewer k, bowyer g, wright d, imoukhuede eb, payne r et al. a monovalent chimpanzee adenovirus ebola vaccine  -  preliminary report.   jan 28. [epub ahead.",10.1056/nejmc1505500,
1839,2198,"sahan km, channon km, choudhury rp, kharbanda rk, lee r, sheehan m. refining the enrolment process in emergency medicine research.   apr;4(1):506-510.",10.5083/ejcm.20424884.147,
2122,1169,"turnbull cd, craig se, kohler m, nicoll d, stradling j. cardiovascular event rates in the mosaic trial: 2-year follow-up data.   oct;69(10):950.",10.1136/thoraxjnl-2013-204827,
2241,171,"webb aj, simoni m, mazzucco s, kuker w, schulz u, rothwell pm. increased cerebral arterial pulsatility in patients with leukoaraiosis: arterial stiffness enhances transmission of aortic pulsatility.   oct;43(10):2631-6.",10.1161/strokeaha.112.655838,
