ID,FinalDOI,Themes
1,10.1002/mrm.24260,Cardiovascular
2,10.1073/pnas.1117412109,Cardiovascular
3,10.1016/j.jcmg.2011.10.007,Cardiovascular
4,10.1007/s00702-011-0732-4,Dementia and Cerebrovascular disease
5,10.1080/13803395.2012.672966,Dementia and Cerebrovascular disease
6,10.1371/journal.pone.0034541,Dementia and Cerebrovascular disease
7,10.1038/ng.2204,Genomic Medicine
8,10.1016/j.fertnstert.2012.01.106,Genomic Medicine
9,10.1111/j.1365-2559.2011.04138.x,Cancer
10,10.2967/jnumed.111.096685,Pathology and Bioresources
11,10.1016/j.yneu.2012.05.040,Dementia and Cerebrovascular disease
12,10.4161/auto.18935,Immunity and Inflammation
13,10.1136/jnnp-2011-301506,Immunity and Inflammation
14,10.1111/j.1365-2230.2011.04227.x,Immunity and Inflammation
15,10.1093/infdis/jis012,Vaccines
16,10.1097/inf.0b013e31824a9c37,Vaccines
17,10.1111/j.1463-1326.2012.01576.x,Dementia and Cerebrovascular disease
18,10.1007/s11517-012-0863-2,Functional Neurosciences and Imaging
19,10.1097/WNR.0b013e3283525b39,Functional Neurosciences and Imaging
20,10.1055/s-0032-1313908,Genomic Medicine
21,10.1038/ki.2011.413,Diabetes
22,10.1111/j.1365-2249.2012.04561.x,Immunity and Inflammation
23,10.1016/j.jinf.2011.11.014,Infection
24,10.3727/096368912x636975,Dementia and Cerebrovascular disease
25,10.12968/pnur.2012.23.4.183,Vaccines
26,10.1182/blood-2011-09-377044,Blood
27,10.1126/science.1219179,Blood
28,10.1016/j.jconrel.2011.12.026,Vaccines
29,10.4049/jimmunol.1101106,Vaccines
30,10.1136/archdischild-2012-301885.56,Vaccines
31,10.1016/j.neurobiolaging.2011.05.018,Dementia and Cerebrovascular disease
32,10.1161/CIRCIMAGING.111.971804,Cardiovascular
33,10.1016/j.jacc.2012.01.055,Cardiovascular
35,10.1093/infdis/jis212,Vaccines
36,10.1016/j.clon.2011.07.012,Cancer
37,10.1111/j.1365-2249.2012.04566.x,Immunity and Inflammation
38,10.1016/j.vaccine.2012.04.063,Vaccines
39,10.1093/brain/aws039,Functional Neurosciences and Imaging
40,10.1200/jco.2011.35.9695,Genomic Medicine
41,10.1523/jneurosci.2543-11.2012,Functional Neurosciences and Imaging
42,10.1038/ng.2263,Genomic Medicine
43,10.1038/bjc.2012.165,Cancer
44,10.1371/journal.ppat.1002656,Immunity and Inflammation
45,10.1016/j.media.2011.12.004,Cardiovascular
46,10.1038/ng.2274,Cardiovascular
47,10.4049/jimmunol.1102711,Immunity and Inflammation
48,10.1161/circulationaha.111.068619,Cardiovascular
49,10.1002/wnan.1164,Cardiovascular
50,10.1517/14728222.2012.674516,Cancer
51,10.1016/j.cca.2012.02.005,Dementia and Cerebrovascular disease
52,10.1093/ehjci/jes016,Cardiovascular
53,10.1016/s0140-6736(12)60768-5,Cardiovascular
54,10.1159/000338905,Dementia and Cerebrovascular disease
55,10.1186/1532-429x-14-42,Translational Physiology
56,10.3233/jad-2012-120505,Dementia and Cerebrovascular disease
57,10.1371/journal.pone.0038434,Vaccines
58,10.2337/dc11-1243,Dementia and Cerebrovascular disease
59,10.2337/db11-1810,"Diabetes, Pathology and Bioresources"
60,10.1002/path.4004,Genomic Medicine
61,10.1093/jac/dks082,Infection
62,10.1016/j.atherosclerosis.2012.03.036,"Cardiovascular,Translational Physiology"
63,10.4161/hv.19712,Vaccines
64,10.1007/s00221-012-3107-7,Functional Neurosciences and Imaging
65,10.1097/inf.0b013e318255e443,Vaccines
66,10.1097/wnr.0b013e32835462f6,Functional Neurosciences and Imaging
67,10.1371/journal.pone.0039677,Dementia and Cerebrovascular Disease
68,10.1007/s00415-011-6299-z,Functional Neurosciences and Imaging
69,10.1136/jnnp-2011-301237,Immunity and Inflammation
70,10.1016/j.radonc.2012.03.009,Cancer
71,10.1093/infdis/jis291,Immunity and Inflammation
72,10.1371/journal.pone.0037920,immunity and Inflammation
73,10.1136/bmjopen-2012-001124,Infection
74,10.1186/1471-2377-12-33,Dementia and Cerebrovascular disease
75,10.3324/haematol.2012.065854,Blood
76,10.1186/1475-2875-11-201,Blood
77,10.1002/cpp.1800,Cognitive Health
78,10.4293/108680812X13462882735935,Cardiovascular
79,10.1093/eurheartj/ehs089,Cardiovascular
80,10.2337/dc11-2420,Dementia and Cerebrovascular disease
81,10.1371/journal.pone.0042388,Vaccines
82,10.1371/journal.pone.0040962,Dementia and Cerebrovascular disease
83,10.1093/cid/cis327,Vaccines
84,10.1097/pas.0b013e318254e80e,"Cancer, Pathology and Bioresources"
85,10.1002/ana.23571,Functional Neurosciences and Imaging
86,10.1038/ng.2293,Genomic Medicine
87,10.1038/leu.2012.13,"Blood, Genomic Medicine"
88,10.1097/hjh.0b013e328352e121,Dementia and Cerebrovascular disease
89,10.1016/j.tmaid.2012.03.008,Vaccines
90,10.1371/journal.pone.0040385,Vaccines
91,10.1523/jneurosci.0275-12.2012,Functional Neurosciences and Imaging
92,10.3389/fnint.2012.00047,Functional Neurosciences and Imaging
93,10.1111/j.1365-2559.2012.04179.x,Blood
94,10.1016/j.ypat.2012.11.032,Cancer
95,10.1530/eje-12-0167,Cancer
96,10.1158/0008-5472.can-12-1052,Genomic Medicine
97,10.1111/j.1365-2249.2012.04588.x,Immunity and Inflammation
98,10.1056/nejmx120009,Vaccines
99,10.1186/1471-2334-12-164,Vaccines
100,10.1002/mrm.23242,Cardiovascular
101,10.1037/a0024992,Cognitive Health
102,10.5665/sleep.2006,Immunity and Inflammation
103,10.1016/s0140-6736(12)60312-2,Cardiovascular
104,10.1128/mcb.06160-11,Genomic Medicine
105,10.1210/jc.2012-1111,Pathology and Bioresources
106,10.1111/j.1365-2125.2012.04200.x,Diabetes
107,10.1097/mol.0b013e3283544956,Diabetes
108,10.1097/mol.0b013e328355ee5e,Cardiovascular
109,10.1016/j.siny.2012.02.010,Blood
110,10.1093/humrep/des201,Genomic Medicine
111,10.1111/j.1365-3148.2012.01149.x,Blood
112,10.1093/cid/cis356,Infection
113,10.1093/cid/cis499,Immunity and Inflammation
114,10.1007/s00335-012-9398-y,"Blood, Cardiovascular"
115,10.1016/j.expneurol.2012.04.024,Functional Neurosciences and Imaging
116,10.1167/iovs.12-10037,Other BRC Funded Work
117,10.1111/j.1752-8062.2011.00393.x,Vaccines
118,10.1038/mt.2012.25,Vaccines
119,10.1136/archdischild-2012-301873,Vaccines
120,10.1523/jneurosci.0767-12.2012,Functional Neurosciences and Imaging
121,10.1016/j.neuroimage.2012.08.068,Functional Neurosciences and Imaging
122,10.1111/j.1749-6632.2012.06650.x,Functional Neurosciences and Imaging
123,10.1093/humrep/des170,Genomic Medicine
124,10.1016/j.fertnstert.2012.05.002,Genomic Medicine
125,10.1371/journal.pone.0042382,Genomic Medicine
126,10.1016/j.jacc.2012.01.078,Cardiovascular
127,10.1016/s1470-2045(12)70355-8,Other BRC Funded Work
128,10.1016/j.vaccine.2012.04.088,Vaccines
129,10.1093/infdis/jis379,Vaccines
130,10.4161/viru.21189,Infection
131,10.1056/nejmoa1111160,Immunity and Inflammation
132,10.1016/j.vaccine.2012.07.032,Vaccines
133,10.1038/ng.2385,Cardiovascular
134,10.1002/mrm.24474,Cardiovascular
135,10.1097/opx.0b013e318264e85a,Other BRC Funded Work
136,10.1016/j.jcmg.2012.02.016,Translational Physiology
137,10.1007/s00330-012-2459-5,Translational Physiology
138,10.1371/journal.pone.0044943,Vaccines
139,10.1016/j.ejca.2013.04.015,Cancer
140,10.1016/s0140-6736(13)60453-5,Diabetes
141,10.1038/nrg3226,Immunity and Inflammation
142,10.1371/journal.ppat.1002874,Immunity and Inflammation
143,10.4049/jimmunol.1200451,Vaccines
144,10.1159/000334090,Translational Physiology
145,10.1093/brain/aws183,Functional Neurosciences and Imaging
146,10.1093/humrep/des219,Genomic Medicine
147,10.1016/j.ejca.2012.03.003,Cancer
148,10.1158/1078-0432.ccr-12-0868,Cancer
149,10.1002/mrm.23311,Cardiovascular
150,10.1161/circulationaha.111.083600,Cardiovascular
151,10.1097/01.uc.0000428883.72053.4e,Cardiovascular
152,10.1097/01.qai.0000429258.85522.91,Immunity and Inflammation
153,10.1038/nri3277,Immunity and Inflammation
154,10.1016/j.jprot.2012.06.009,Blood
155,10.1212/wnl.0b013e31826b951e,Dementia and Cerebrovascular disease
156,10.1016/j.jvs.2012.11.047,Immunity and Inflammation
157,10.1038/leu.2012.82,Blood
158,10.1038/ijo.2012.170,Cardiovascular
159,10.1093/jac/dks408,Immunity and Inflammation
160,10.1016/j.neuroimage.2012.10.049,Cardiovascular
161,10.1161/circimaging.112.976738,Translational Physiology
162,10.1371/journal.pone.0048322,Vaccines
163,10.1371/journal.pone.0047531,Vaccines
164,10.1073/pnas.1120201109,Functional Neurosciences and Imaging
165,10.1016/j.clinph.2012.07.029,Functional Neurosciences and Imaging
166,10.1097/inf.0b013e318262528c,Vaccines
167,10.1136/jclinpath-2012-200923,Surgical Innovation and Evaluation 
168,10.1002/ajmg.a.35558,Genomic Medicine
169,10.1017/s0963180112000242,Ethics
170,10.1007/s10072-011-0874-z,Dementia and Cerebrovascular disease
171,10.1161/strokeaha.112.655837,Dementia and Cerebrovascular disease
172,10.1111/j.1365-2265.2012.04483.x,Dementia and Cerebrovascular disease
173,10.1016/j.cmpb.2012.02.001,Biomedical Informatics and Technology
174,10.1038/ng.2408,Genomic Medicine
175,10.1371/journal.pgen.1003025,Genomic Medicine
176,10.1016/j.ejca.2012.06.013,Cancer
177,10.1038/bjc.2012.398,Cancer
178,10.1259/bjr/56737365,"Cancer, Surgical Innovation and Evaluation "
179,10.1210/jc.2012-2303,Genomic Medicine
180,10.1016/j.ejso.2012.04.011,Cancer
181,10.1136/jclinpath-2012-200958,Cancer
182,10.1016/j.ijcard.2012.08.049,Cardiovascular
183,10.1002/art.34538,Immunity and Inflammation
184,10.1016/j.neuroimage.2011.09.010,Cardiovascular
185,10.1038/nature11401,Cardiovascular
186,10.1523/jneurosci.2200-12.2012,Cognitive Health
187,10.1371/journal.pone.0046256,Cardiovascular
