label	replace by
"antoniades, c"	"antoniades, ca"
"beilby, j"	"beilby, jp"
"bogdanova, n"	"bogdanova, nv"
"buffa, f"	"buffa, fm"
"farmer, a"	"farmer, aj"
"harris, s"	"harris, sa"
"holloway, c"	"holloway, cj"
"karamitsos, t"	"karamitsos, td"
"li, j"	"li, jl"
"magnusson, pk"	"magnusson, pke"
"mccarthy, m"	"mccarthy, mi"
"mcgowan, s"	"mcgowan, sj"
"mcmanus, r"	"mcmanus, rj"
"meschia, j"	"meschia, jf"
"middleton, m"	"middleton, mr"
"neubauer, s"	"neuhausen, sl"
"nilsson, p"	"nilsson, pm"
"pagnamenta, a"	"pagnamenta, at"
"peto, te"	"peto, tea"
"phillips, r"	"phillips, re"
"prendergast, b"	"prendergast, bd"
"sawyer, e"	"sawyer, ej"
"soilleux, e"	"soilleux, ej"
"stanworth, s"	"stanworth, sj"
"stradling, j"	"stradling, jr"
"taylor, j"	"taylor, jc"
"tomlinson, i"	"tomlinson, ipm"
"tomlinson, ip"	"tomlinson, ipm"
"vickers, a"	"vickers, aj"
"viikari, j"	"viikari, js"
"wilcock, g"	"wilcock, gk"
